output_item_name, input_item_name, input_item_qty
Gistum A-Type Reactive Sheild Hardener, Angel Device Construction Unit, 20
Gistum A-Type Reactive Sheild Hardener, Minmatar Device Construction Unit, 789
Gistum A-Type Reactive Sheild Hardener, Decryptor, 9
Gistum X-Type Reactive Sheild Hardener, Angel Data Compiler, 20
Gistum X-Type Reactive Sheild Hardener, Gistum A-Type Reactive Sheild Hardener, 1
Gistum X-Type Reactive Sheild Hardener, Small Device Improvement Medium, 447
Gistum X-Type Reactive Sheild Hardener, Small Device Compilation Optimization Medium, 23
Gistum X-Type Reactive Sheild Hardener, Angel Device Construction Unit, 23
Gistum X-Type Reactive Sheild Hardener, Minmatar Device Construction Unit, 893
Gistum X-Type Reactive Sheild Hardener, Decryptor, 12
Gist B-Type Adaptive Invulnerability Field, Angel Data Compiler, 5
Gist B-Type Adaptive Invulnerability Field, Gist C-Type Adaptive Invulnerability Field, 1
Gist B-Type Adaptive Invulnerability Field, Small Device Improvement Medium, 852
Gist B-Type Adaptive Invulnerability Field, Small Device Compilation Optimization Medium, 43
Gist B-Type Adaptive Invulnerability Field, Angel Device Construction Unit, 43
Gist B-Type Adaptive Invulnerability Field, Minmatar Device Construction Unit, 1703
Gist B-Type Adaptive Invulnerability Field, Decryptor, 10
Gist A-Type Adaptive Invulnerability Field, Angel Data Compiler, 10
Gist A-Type Adaptive Invulnerability Field, Gist B-Type Adaptive Invulnerability Field, 1
Gist A-Type Adaptive Invulnerability Field, Small Device Improvement Medium, 986
Gist A-Type Adaptive Invulnerability Field, Small Device Compilation Optimization Medium, 50
Gist A-Type Adaptive Invulnerability Field, Angel Device Construction Unit, 50
Gist A-Type Adaptive Invulnerability Field, Minmatar Device Construction Unit, 1971
Gist A-Type Adaptive Invulnerability Field, Decryptor, 12
Gist X-Type Adaptive Invulnerability Field, Angel Data Compiler, 20
Gist X-Type Adaptive Invulnerability Field, Gist A-Type Adaptive Invulnerability Field, 1
Gist X-Type Adaptive Invulnerability Field, Small Device Improvement Medium, 1116
Gist X-Type Adaptive Invulnerability Field, Small Device Compilation Optimization Medium, 56
Gist X-Type Adaptive Invulnerability Field, Angel Device Construction Unit, 56
Gist X-Type Adaptive Invulnerability Field, Minmatar Device Construction Unit, 2231
Gist X-Type Adaptive Invulnerability Field, Decryptor, 16
Gist B-Type Large Microwarpdrive, Angel Data Compiler, 20
Gist B-Type Large Microwarpdrive, Gist C-Type Large Microwarpdrive, 1
Gist B-Type Large Microwarpdrive, Large Device Improvement Medium, 2908
Gist B-Type Large Microwarpdrive, Large Device Compilation Optimization Medium, 250
Gist B-Type Large Microwarpdrive, Angel Device Construction Unit, 146
Gist B-Type Large Microwarpdrive, Minmatar Device Construction Unit, 9994
Gist B-Type Large Microwarpdrive, Decryptor, 21
Gist A-Type Large Microwarpdrive, Angel Data Compiler, 40
Gist A-Type Large Microwarpdrive, Gist B-Type Large Microwarpdrive, 1
Gist A-Type Large Microwarpdrive, Large Device Improvement Medium, 3475
Gist A-Type Large Microwarpdrive, Large Device Compilation Optimization Medium, 299
Gist A-Type Large Microwarpdrive, Angel Device Construction Unit, 1174
Gist A-Type Large Microwarpdrive, Minmatar Device Construction Unit, 11943
Gist A-Type Large Microwarpdrive, Decryptor, 25
Gist X-Type Large Microwarpdrive, Angel Data Compiler, 80
Gist X-Type Large Microwarpdrive, Gist A-Type Large Microwarpdrive, 1
Gist X-Type Large Microwarpdrive, Large Device Improvement Medium, 4414
Gist X-Type Large Microwarpdrive, Large Device Compilation Optimization Medium, 380
Gist X-Type Large Microwarpdrive, Angel Device Construction Unit, 221
Gist X-Type Large Microwarpdrive, Minmatar Device Construction Unit, 15168
Gist X-Type Large Microwarpdrive, Decryptor, 34
